"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 07 18:15:48 EET 2020","Sat Nov 07 18:15:50 EET 2020","2232","","OpenBrowserTests","","OpenBrowserTests","openBrowser","Test Opening browser dialog",""
"failed","Sat Nov 07 18:15:39 EET 2020","Sat Nov 07 18:15:48 EET 2020","8982","","OpenBrowserTests","","OpenBrowserTests","openBrowserAndFailTest","Test expected failure",""
